,Period,espresso Lungo Sales,cappuccino classic Sales,Caramel flavor syrup Sales,Latte Classic Sales,cappuccino Grande Sales,Espresso with cream Sales,espresso classic Sales,Hazelnut flavor syrup Sales
189,10/07/2012,39.0,20.0,14.0,8.0,8.0,15.0,9.0,0.0
190,11/07/2012,44.0,40.0,6.0,6.0,4.0,10.0,5.0,0.0
191,12/07/2012,60.0,19.0,8.0,9.0,8.0,11.0,7.0,0.0
192,13/07/2012,39.0,28.0,8.0,7.0,7.0,11.0,6.0,8.0
193,14/07/2012,4.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0
194,15/07/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,16/07/2012,53.0,19.0,6.0,4.0,10.0,2.0,6.0,8.0
196,17/07/2012,50.0,32.0,0.0,4.0,8.0,6.0,5.0,8.0
197,18/07/2012,42.0,27.0,4.0,4.0,3.0,2.0,6.0,4.0
198,19/07/2012,45.0,25.0,0.0,8.0,4.0,9.0,5.0,4.0
199,20/07/2012,29.0,25.0,0.0,5.0,5.0,7.0,6.0,10.0
200,21/07/2012,9.0,3.0,0.0,0.0,0.0,1.0,5.0,0.0
201,22/07/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,23/07/2012,44.0,19.0,20.0,7.0,8.0,7.0,12.0,4.0
203,24/07/2012,48.0,27.0,16.0,10.0,9.0,8.0,24.0,4.0
204,25/07/2012,36.0,23.0,0.0,8.0,7.0,10.0,7.0,8.0
205,26/07/2012,40.0,26.0,14.0,5.0,4.0,9.0,3.0,6.0
206,27/07/2012,35.0,23.0,4.0,8.0,3.0,8.0,9.0,4.0
207,28/07/2012,0.0,5.0,0.0,0.0,1.0,2.0,0.0,4.0
208,29/07/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,30/07/2012,50.0,30.0,6.0,6.0,10.0,5.0,8.0,8.0
210,31/07/2012,51.0,32.0,12.0,14.0,5.0,15.0,12.0,8.0
211,01/08/2012,30.0,23.0,4.0,5.0,5.0,8.0,6.0,8.0
212,02/08/2012,30.0,37.0,8.0,13.0,11.0,14.0,8.0,0.0
213,03/08/2012,44.0,26.0,4.0,10.0,8.0,8.0,4.0,8.0
214,04/08/2012,0.0,4.0,0.0,2.0,0.0,1.0,0.0,8.0
215,05/08/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,06/08/2012,40.0,20.0,4.0,7.0,9.0,9.0,8.0,0.0
217,07/08/2012,37.0,26.0,0.0,9.0,6.0,8.0,18.0,0.0
218,08/08/2012,41.0,28.0,0.0,9.0,7.0,13.0,5.0,8.0
219,09/08/2012,54.0,33.0,4.0,11.0,6.0,6.0,12.0,0.0
220,10/08/2012,44.0,23.0,0.0,2.0,7.0,7.0,11.0,4.0
221,11/08/2012,1.0,5.0,0.0,2.0,2.0,4.0,0.0,0.0
222,12/08/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,13/08/2012,32.0,32.0,0.0,8.0,2.0,7.0,15.0,4.0
224,14/08/2012,37.0,27.0,8.0,16.0,4.0,11.0,16.0,8.0
225,15/08/2012,48.0,22.0,12.0,7.0,5.0,11.0,16.0,11.0
226,16/08/2012,29.0,24.0,4.0,8.0,7.0,12.0,12.0,6.0
227,17/08/2012,31.0,16.0,0.0,6.0,4.0,12.0,14.0,4.0
228,18/08/2012,0.0,8.0,4.0,2.0,0.0,5.0,0.0,0.0
229,19/08/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,20/08/2012,41.0,35.0,16.0,14.0,8.0,18.0,14.0,4.0
231,21/08/2012,34.0,23.0,7.0,9.0,9.0,10.0,8.0,0.0
232,22/08/2012,37.0,30.0,4.0,6.0,8.0,9.0,9.0,0.0
233,23/08/2012,41.0,28.0,6.0,5.0,6.0,9.0,9.0,22.0
234,24/08/2012,36.0,18.0,0.0,5.0,9.0,14.0,18.0,4.0
