,Actual sales,Forecasted sales,max_sales,min_sales
468,8,20,28,12
469,16,22,30,14
470,20,18,26,10
471,10,18,26,10
472,17,19,27,11
473,22,17,25,9
474,20,17,25,9
475,12,17,25,9
476,32,24,32,16
477,18,18,26,10
